material_id,formula,energy_above_hull (eV/atom),energy_per_atom (eV/atom),density (g/cm³),band_gap (eV),bulk_modulus_K_VRH (GPa),shear_modulus_G_VRH (GPa),youngs_modulus_E(GPa),epsilon(k),epsilon_var,epsilon_delta,epsilon_ratio
mp-160,B,0.0,-7.346354197499999,2.483309878652122,1.433399999999999,211.42459532703435,178.8510043806478,418.5354020183094,9.38131462666667,1.5270467266920076,2.62139630476001,1.343397051613449
mp-23791,B(HO)3,0.0,-6.383999429285709,1.647926780931507,6.0572,14.122199275540478,6.4176535004514195,16.72019990762962,,,,
mp-1199941,B10H14S,0.0,-4.9633726177,0.8568314196008021,2.5518,,,,,,,
mp-576,B13C2,0.0,-7.7880352586666675,2.454374562267944,0.0,223.16782037628684,155.4970228667165,378.566305198889,,,,
mp-306,B2O3,0.0,-8.438589621333334,2.561902772718296,6.3017,33.09775870290892,36.033201008403566,79.31606555556519,2.7233033533333337,1.9514024732902683e-05,0.009371252226818783,1.0034490462645687
mp-1019509,B2S2O9,0.0,-7.178439188461539,2.710548110379561,6.6956,32.08885397163787,30.450243818237716,69.39900982097689,2.577742433333333,0.005134346291519095,0.16194300678039797,1.0653725244938554
mp-1199451,B2S3,0.0,-5.8889910275599995,2.4123142396181843,2.526399999999999,,,,,,,
mp-1200137,B3H4NO5,0.0,-7.08169526576923,2.244704088561217,5.5239,,,,,,,
mp-1238815,B4C,0.0,-7.997103047333334,2.541908945405635,3.0415,237.98503504147635,188.87111923720136,448.0779229202533,,,,
mp-703444,B5H12NO12,0.0,-6.572641609,1.520650889426816,5.760400000000001,,,,,,,
mp-1196660,B5H4NO8,0.0,-7.463749198194445,1.899748757585804,5.7298,,,,,,,
mp-706630,B5H7,0.0,-5.171727778333333,0.958639553801726,3.606099999999999,,,,,,,
mp-31064,B6H10N,0.0,-5.441952395588236,0.9259073545745911,5.6566,14.000000000000004,3.8189189189189188,10.501858078216245,,,,
mp-1346,B6O,0.0,-7.237317123571429,2.621773527017992,1.856399999999999,228.75508771929825,207.9453802005534,478.76535174027356,5.7521745999998855,0.09796122475172948,0.6639479716525178,1.120044301033781
mp-28395,B6P,0.0,-7.909109577857143,2.6073925513727563,2.4757,200.22522522522522,176.85124573396138,409.87741491731015,7.527535070002941,1.3873143623353305e-05,0.007902008369312874,1.0010504822208022
mp-29654,B9H11,0.0,-5.3042644603125,0.9893997412867691,2.9653,,,,,,,
mp-1198592,BHO2,0.0,-7.250747621041667,2.095605457919438,6.2786,,,,,,,
mp-1200187,BHS3O11,0.0,-6.591253374375,2.2371517060065242,5.696299999999999,,,,,,,
mp-604884,BN,0.0,-9.6505314275,2.246711413298581,4.3683,102.09347053779248,73.63455816652956,178.08845066525697,3.8488731500000015,1.0178455476736223,2.140165793421451,1.8836004818030017
