material_id,formula,density (g/cm³),band_gap (eV),energy_per_atom (eV/atom),energy_above_hull (eV/atom),epsilon(k),epsilon_var,epsilon_delta,epsilon_ratio,bulk_modulus_K_VRH (GPa),shear_modulus_G_VRH (GPa),youngs_modulus_E(GPa),elements
mp-570778,Cl2,0.917135112372348,2.6476,-6.079445613125,0.07299328437499901,1.5167359899999997,0.013465724396320688,0.24616205999999896,1.1715795313159187,,,,['Cl']
mp-632291,H2,0.142084497143387,8.8499,-3.4521616,0.002950801249999,1.5310890266666661,0.00835890020355561,0.19394600000000128,1.132256316240506,,,,['H']
mp-850274,H2,0.09686760211786001,8.5338,-3.453358045,0.0017543562500000002,1.5523945266666666,0.010759956983533549,0.22004501000000198,1.1487749412342572,0.312,0.072,0.20057142857142854,['H']
mp-154,N2,0.9462436193759101,7.340999999999999,-9.12875067125,0.0,1.529605289999999,0.0,0.0,1.0,,,,['N']
mp-561513,S,1.866915008707064,2.4646,-8.015491559285715,0.018545667901785003,3.3807530166666684,0.20801729062934124,1.054949715732484,1.3840175189432862,,,,['S']
mp-1014013,P,0.388033321298891,0.8832000000000001,-8.948089115,0.053987197023809004,2.6614728100000002,1.4837732584821415,2.9827435300000005,3.598290129307191,2.8876666666666666,1.662333333333333,4.184114895402892,['P']
mp-558014,S,1.9221986817008632,2.1763,-8.023738200416666,0.010299026770834,3.0466040166666652,0.17743539182851845,0.9566987199999999,1.3894247087064073,,,,['S']
mp-22848,Cl2,2.086496109964204,2.5434,-6.1524388975,0.0,2.631687926666667,0.39550980005620745,1.5293082963618359,1.796316644119344,,,,['Cl']
mp-77,S,1.9196195297959862,2.5807,-8.0340372271875,0.0,2.8321102266666673,0.10282787270999134,0.7549192966195069,1.299895260932275,,,,['S']
mp-1383199,TiF4,2.866872903290787,4.3454,-6.721473465,0.074892596999999,2.447994693333334,0.02663124927642727,0.37538366315880767,1.1690427583167637,,,,"['F', 'Ti']"
mp-1395134,MoF4,3.921369789211221,3.1313,-10.26523096725,0.047749848499998006,2.649448046666666,0.1195928309913865,0.7507363742559034,1.3474323254204648,,,,"['F', 'Mo']"
mp-32854,H11O8,1.121431138699857,1.0035,-5.085678581578947,0.07487764243420901,2.2621951,0.11379003475671785,0.7621702412889981,1.3862548311623302,,,,"['H', 'O']"
mp-1402840,WF4,5.234222531482871,1.165,-6.748638250000001,0.0,2.25926184,0.04127941849401636,0.45055195431197204,1.2283626271924257,,,,"['F', 'W']"
mp-556985,SiO2,1.956224705325687,5.6098,-8.32682709,0.053084267222223,2.06060287,0.002602431517728722,0.12462192964541519,1.0624468890729513,,,,"['O', 'Si']"
mp-33024,H2S,1.228520214773911,4.0901,-5.144084160833333,0.008091198749999001,2.5453575066666665,0.012482648588937122,0.2709576484580145,1.1129563823019188,,,,"['H', 'S']"
mp-556994,SiO2,2.320045639110383,5.3836,-8.291633589166667,0.08827776805555601,2.2702061700000002,0.003552720974850529,0.1459876223885499,1.0664248770942062,,,,"['O', 'Si']"
mp-685043,BBr,2.846840800319148,1.2319,-4.767592593333333,0.00891484361111,3.270624563333333,0.015845802462874033,0.2796017452568256,1.0903895130762196,,,,"['B', 'Br']"
mp-752826,Al2O3,3.496443884413578,4.1714,-7.799801477400001,0.093756465599999,3.0640755733333322,0.0007092697046476849,0.06510038409438712,1.021483036508817,166.16,81.14433333333334,209.35367075111296,"['Al', 'O']"
mp-983357,H3F2,1.407697648737743,7.903799999999999,-4.186200184,0.023431433,1.7083549666666655,0.003463090729190134,0.1369780980666615,1.0828750899010038,,,,"['F', 'H']"
mp-995393,LiS4,0.212291455515833,2.1989,-4.303887513,0.0,1.1959124233333334,0.0019755163133327205,0.10556464902126383,1.092972260061804,,,,"['Li', 'S']"
mp-32959,H2O,1.647356170145688,5.275399999999999,-5.167542575833333,0.025225045,2.374757836666667,6.0630163268357615e-05,0.01651774000000028,1.0069879504524262,,,,"['H', 'O']"
mp-615138,MnF2,4.202839577300487,3.283,-7.242215016666666,0.054658780833334,2.5290890266666657,1.7701567334759198e-05,0.008925080000000918,1.0035331263751361,,,,"['F', 'Mn']"
mp-570922,MgCl2,1.8039842397632282,4.9801,-3.947550543333333,0.08375117666666601,2.4312777166666666,0.0029757886595755604,0.11571970000000009,1.0491560103116595,5.603000000000001,3.946,9.587325560105999,"['Cl', 'Mg']"
mp-600001,SiO2,1.6270879414514412,5.7968,-8.343289207,0.036622150222223,1.8449668399999999,0.00046822590112500297,0.045902250000000144,1.0250877743490345,,,,"['O', 'Si']"
mp-558200,SiO2,2.413310250887983,5.642899999999999,-8.307292087083333,0.07261927013889001,2.320928073333334,0.0017291500507424222,0.08821097,1.0389948103389495,,,,"['O', 'Si']"
mp-639682,SiO2,1.58982169377308,5.7946,-8.345149994666667,0.034761362555556,1.8300760433333327,0.00010060531574134604,0.021277309999998995,1.0117172825946386,,,,"['O', 'Si']"
mp-972825,SiH8,0.505053431237369,6.98,-4.049072213333334,0.0015667763888880001,2.2133086499999997,0.005728690886752858,0.1605587400000008,1.074340009508429,,,,"['H', 'Si']"
mp-1101301,TeO3,5.250929414722769,2.1595,-5.83847837125,0.0,3.392856670000002,0.5023312508779979,1.504290565862998,1.6292711138127598,,,,"['O', 'Te']"
mp-1206058,TlCl3,4.406289979582581,2.199799999999999,-3.10374676,0.0,3.3197526933333337,0.25977890573785933,1.0817923895837054,1.4162421858139045,,,,"['Cl', 'Tl']"
mp-25469,AlCl3,2.40641043516053,5.263,-7.990160025,0.0,2.847340403333334,0.061688148276907634,0.5273424807340015,1.211267313063708,10.009,6.715666666666667,16.464617946438292,"['Al', 'Cl']"
mp-27455,YCl3,2.537359519737013,4.9300999999999995,-12.22430778625,0.0,2.609430800001174,0.03859516964257378,0.4197425319955994,1.1800217427673836,5.717,3.3336666666666663,8.373441159241057,"['Cl', 'Y']"
mp-2659,LiN3,1.931723590704999,3.6364,-7.6490611325,0.0,2.76261471666828,0.7780785412995287,1.895574447893598,1.8966046994149521,35.899,18.795666666666666,48.008401585862686,"['Li', 'N']"
mp-30952,GaCl3,2.384240544417417,4.1775,-8.69525776125,0.0,2.352028756509103,0.014528600636650494,0.2924545762219539,1.1332911088428634,0.9193333333333333,0.7719999999999999,1.809498016997167,"['Cl', 'Ga']"
mp-31040,NbCl4,2.944121327402491,1.0797,-11.281181436,0.0,3.5711595333332156,0.9487445205870096,2.287230003666636,1.8718052856568992,,,,"['Cl', 'Nb']"
mp-570219,InBr3,4.47478553312914,2.489,-3.15653166375,0.0,3.663956386675037,0.14688376007089463,0.8130841272101841,1.2604408486970613,5.717333333333333,3.8343333333333334,9.401330516685462,"['Br', 'In']"
mp-569410,PCl5,2.194878120865734,1.7516,-7.278189656666667,0.0,3.3037734066675326,0.07101043412245399,0.6409279101351477,1.2174381914036299,,,,"['Cl', 'P']"
mp-568301,BiBr3,4.956050946467928,2.8692,-3.370389593750001,0.0023422624999980004,3.9035729299999993,0.47511867511198275,1.46291013131562,1.4994960642269597,,,,"['Bi', 'Br']"
mp-695850,CdCl2,3.822376994410115,3.5155000000000003,-12.075303273333333,0.002500736666666,3.2479510256080175,0.12617387200523125,0.7799545474003211,1.2839656955495604,7.854666666666667,5.381,13.14194686474348,"['Cd', 'Cl']"
mp-754812,Al2O3,3.094645987901551,4.205500000000001,-7.808671951000001,0.08488599199999901,2.8261268123229004,0.004150411759735648,0.1577629326084642,1.0574478997081478,128.9466666666667,53.564,141.14788530531058,"['Al', 'O']"
mp-754815,YBr3,3.731359469171679,3.976499999999999,-5.1603555875,0.0,3.121391186666667,0.05898632270184539,0.5215886913355594,1.187756782706517,4.556666666666667,2.8193333333333332,7.011857766637017,"['Br', 'Y']"
mp-7048,Al2O3,3.626309528339469,4.4553,-7.876398425,0.017159517999999003,3.1635806566666957,0.00018829266729930932,0.03332144857825936,1.0105843105899646,186.365,102.82633333333332,260.5582534052385,"['Al', 'O']"
mp-975,SF6,2.8028887884988443,5.9124,-5.6805550233333335,0.0,1.759216659999999,7.374013991602306e-07,0.00189998221250276,1.0010807597109534,5.547999999999999,1.7343333333333335,4.712001378434752,"['F', 'S']"
mp-557930,SiO2,2.311617456409678,5.8743,-8.347921994583333,0.031989362638890004,2.2573930033333327,7.738418124268922e-05,0.01866089000000004,1.0083123766530089,,,,"['O', 'Si']"
mp-22909,ZnCl2,2.926450984350554,4.0533,-8.362838726666666,0.0,2.8662838299996047,0.003823926747111961,0.13117810434703303,1.0464749056639562,6.868333333333333,5.592666666666666,13.196239741452798,"['Cl', 'Zn']"
mp-546794,SiO2,2.223612886125405,5.689599999999999,-8.374263906666666,0.005647450555557001,2.185087746666666,1.070613689689626e-06,0.0021949400000007557,1.0010048453180325,35.06,33.44266666666667,76.12390739369224,"['O', 'Si']"
mp-29422,HfCl4,3.687017460979498,4.1668,-15.980669591,0.0,2.7131646166666665,0.03771582439941664,0.47232027825984657,1.1894315380528677,,,,"['Cl', 'Hf']"
mp-569175,ZrCl4,2.651727904181665,3.6058,-11.478320902,0.0,2.9938308033333327,0.042574751377359256,0.5029336505699682,1.182432811105821,,,,"['Cl', 'Zr']"
mp-600002,SiO2,1.774082270999887,5.4674,-8.357677480833333,0.022233876388890003,1.942242796666666,0.00022078303076535622,0.03152021000000005,1.0163170376391897,,,,"['O', 'Si']"
mp-20652,PbF3,6.925900351601574,1.9078,-18.68023273375,0.0,3.4529962399999996,0.026407889973792956,0.34472526000000103,1.1069519307550804,,,,"['F', 'Pb']"
